year,name,position,cap_hit
2021,traviskonecny,"RW, LW",5500000
2021,andrewladd,LW,5500000
2021,jasonzucker,"LW, RW",5500000
2021,nickleddy,LD,5500000
2021,bohorvat,C,5500000
2021,antonstralman,RD,5500000
2021,jeffpetry,RD,5500000
2021,alexgoligoski,LD/RD,5475000
2021,sethjones,RD,5400000
2021,teuvoteravainen,"RW, LW",5400000
2021,rasmusristolainen,RD,5400000
2021,mikazibanejad,C,5350000
2021,jadenschwartz,LW,5350000
2021,mikaelbacklund,C,5350000
2021,tomastatar,"LW, RW",5300000
2021,jaccobslavin,LD,5300000
2021,maxdomi,"C, LW",5300000
2021,patrichornqvist,RW,5300000
2021,ondrejpalat,"LW, RW",5300000
2021,bryanlittle,"C, RW",5291667
2021,marianhossa,RW,5275000
2021,jeffcarter,"C, RW",5272727
2021,bradyskjei,LD,5250000
2021,fransnielsen,"C, LW",5250000
2021,jakobsilfverberg,"RW, LW",5250000
2021,ninoniederreiter,"LW, RW",5250000
2021,charliecoyle,"C, RW",5250000
2021,jtmiller,"LW, C",5250000
2021,hampuslindholm,LD,5205556
2021,sheatheodore,LD/RD,5200000
2021,samreinhart,"C, RW",5200000
2021,yannigourde,"C, LW, RW",5166666
2021,tomwilson,RW,5166666
2021,dmitryorlov,LD/RD,5100000
2021,jeangabrielpageau,C,5000000
2021,niklashjalmarsson,LD/RD,5000000
2021,zacharywerenski,LD,5000000
2021,tylerjohnson,"RW, C",5000000
2021,semyonvarlamov,G,5000000
2021,samuelgirard,LD/RD,5000000
2021,evgenidadonov,"RW, LW",5000000
2021,tjbrodie,RD,5000000
2021,frederikandersen,G,5000000
2021,ryanpulock,RD,5000000
2021,reillysmith,"RW, LW",5000000
2021,jonathanmarchessault,"LW, RW",5000000
2021,pekkarinne,G,5000000
2021,robinlehner,G,5000000
2021,joshbailey,"RW, LW",5000000
2021,tylerbozak,"C, RW",5000000
2021,pierrelucdubois,C,5000000
2021,morganrielly,LD,5000000
2021,dannydekeyser,LD,5000000
2021,noahhanifin,LD,4950000
2021,benbishop,G,4916667
2021,charliemcavoy,RD,4900000
2021,alexanderwennberg,C,4900000
2021,andreburakovsky,"LW, RW",4900000
2021,mariangaborik,RW,4875000
2021,michaelmatheson,LD,4875000
2021,eliaslindholm,"C, RW",4850000
2021,mikhailsergachev,LD/RD,4800000
2021,anthonycirelli,C,4800000
2021,anthonydeangelo,RD,4800000
2021,vincenttrocheck,"C, RW",4750000
2021,colinwhite,"RW, C",4750000
2021,alextuch,"RW, LW",4750000
2021,kevinlabanc,"RW, LW",4725000
2021,kylepalmieri,"RW, LW",4650000
2021,ryanmurray,LD,4600000
2021,jakobchychrun,LD,4600000
2021,artemanisimov,"C, LW",4550000
2021,rasmusandersson,RD,4550000
2021,calvindehaan,LD/RD,4550000
2021,nazemkadri,C,4500000
2021,jasondemers,RD,4500000
2021,shaynegostisbehere,LD,4500000
2021,nikitazaitsev,RD,4500000
2021,christophertanev,RD,4500000
2021,mikkokoskinen,G,4500000
2021,darcykuemper,G,4500000
2021,ryanstrome,"C, RW",4500000
2021,marcusjohansson,"C, LW, RW",4500000
2021,nikitagusev,"RW, LW",4500000
2021,christiandvorak,"C, LW",4450000
2021,alexkillorn,LW,4450000
2021,jordanbinnington,G,4400000
2021,brandonsutter,"RW, C",4375000
2021,brendansmith,"LD/RD, LW",4350000
2021,jakeallen,G,4350000
2021,devandubnyk,G,4333333
2021,seancouturier,C,4333333
2021,bradenholtby,G,4300000
2021,iancole,LD/RD,4250000
2021,tylertoffoli,"LW, RW",4250000
2021,johnklingberg,RD,4250000
2021,viktorarvidsson,"RW, LW",4250000
2021,davidsavard,RD,4250000
2021,anttiraanta,G,4250000
2021,oscarklefbom,LD,4167000
2021,jonasbrodin,LD,4166667
2021,adamlarsson,RD,4166666
2021,damonseverson,RD,4166666
2021,mathieuperreault,"LW, C",4125000
2021,nickbjugstad,"C, RW",4100000
2021,devontoews,LD,4100000
2021,nickbonino,C,4100000
2021,briandumoulin,LD,4100000
2021,joshmanson,RD,4100000
2021,ollimaatta,LD,4083333
2021,jakegardiner,LD,4050000
2021,marcuspettersson,LD,4025175
2021,brettpesce,RD,4025000
2021,davidperron,"LW, RW",4000000
2021,alecmartinez,LD,4000000
2021,justinschultz,RD,4000000
2021,victorrask,C,4000000
2021,erikgudbranson,RD,4000000
2021,krisrussell,LD/RD,4000000
2021,elvismerzlikins,G,4000000
2021,mikehoffman,"RW, LW",4000000
2021,kevinshattenkirk,RD,3900000
2021,brendendillon,LD,3900000
2021,andrewshaw,"C, RW",3900000
2021,joonasdonskoi,RW,3900000
2021,colinmiller,RD,3875000
2021,connormurphy,RD,3850000
2021,darrenhelm,"C, LW, RW",3850000
2021,brandonmontour,LD/RD,3850000
2021,rickardrakell,"RW, LW",3789444
2021,mattiasekholm,LD,3750000
2021,tannerpearson,LW,3750000
2021,tysonbarrie,RD,3750000
2021,brendangallagher,RW,3750000
2021,boonejenner,"C, LW",3750000
2021,mikaelgranlund,"C, RW",3750000
2021,willbutcher,LD,3733333
2021,dominikkubalik,LW,3700000
2021,mattgrzelcyk,LD,3687500
2021,jakedebrusk,LW,3675000
2021,camtalbot,G,3666667
2021,thomasgreiss,G,3600000
2021,connorbrown,"LW, RW",3600000
2021,christierney,C,3500000
2021,joeledmundson,LD,3500000
2021,michealferland,"LW, RW",3500000
2021,jtcompher,"RW, C",3500000
2021,bryanrust,"RW, LW",3500000
2021,alexanderkerfoot,"C, LW",3500000
2021,brettconnolly,"RW, LW",3500000
2021,tristanjarry,G,3500000
2021,brandontanev,"RW, LW",3500000
2021,benchiarot,LD/RD,3500000
2021,calclutterbuck,RW,3500000
2021,tylerbertuzzi,"LW, RW",3500000
2021,larseller,C,3500000
2021,jamesreimer,G,3400000
2021,andreasjohnsson,"LW, RW",3400000
2021,paulbyron,"LW, RW, C",3400000
2021,ryandzingel,"LW, RW, C",3375000
2021,svenbaertschi,LW,3366666
2021,jakubvrana,LW,3350000
2021,caseycizikas,C,3350000
2021,philippgrubauer,G,3333333
2021,antonkhudobin,G,3333333
2021,marcoscandella,LD,3275000
2021,ericstaal,C,3250000
2021,radekfaksa,C,3250000
2021,mackenzieweegar,LD/RD,3250000
2021,pavelbuchnevich,"RW, LW",3250000
2021,zacksmith,"LW, C",3250000
2021,travissanheim,LD,3250000
2021,andrewcogliano,LW,3250000
2021,nikitazadorov,LD/RD,3200000
2021,kasperikapanen,RW,3200000
2021,zackkassian,RW,3200000
2021,ryangraves,LD,3166667
2021,roopehintz,"C, LW",3150000
2021,derekryan,"C, RW",3125000
2021,petrmrazek,G,3125000
2021,craigsmith,"RW, C",3100000
2021,phillipdanault,C,3083333
2021,victorolofsson,"LW, RW",3050000
2021,dylandemelo,RD,3000000
2021,erikgustafsson,LD/RD,3000000
2021,jonathanbernier,G,3000000
2021,oskarlindblom,LW,3000000
2021,nealpionk,RD,3000000
2021,dylanstrome,"C, LW",3000000
2021,kevinfiala,"LW, RW",3000000
2021,leokomarov,"RW, LW, C",3000000
2021,jaybeagle,C,3000000
2021,antoineroussel,LW,3000000
2021,valtterifilppula,"C, LW",3000000
2021,patriknemeth,LD,3000000
2021,robbyfabbri,"LW, C",2950000
2021,erikcernak,RD,2950000
2021,jaredmccann,"LW, C",2940000
2021,adamlowry,C,2916667
2021,marcusfoligno,"LW, RW",2875000
2021,coltonsissons,"RW, C",2857143
2021,jakemccabe,LD,2850000
2021,brandoncarlo,RD,2850000
2021,mattcalvert,"LW, RW",2850000
2021,vladislavgavrikov,LD,2800000
2021,mackenzieblackwood,G,2800000
2021,dantonheinen,"LW, RW",2800000
2021,joonaskorpisalo,G,2800000
2021,carsonsoucy,LD,2750000
2021,richardpanik,"LW, RW",2750000
2021,oskarsundqvist,"C, RW",2750000
2021,rileynash,"C, RW",2750000
2021,chandlerstephenson,"C, LW",2750000
2021,jesperbratt,"LW, RW",2750000
2021,mileswood,LW,2750000
2021,johnmoore,LD,2750000
2021,davidrittich,G,2750000
2021,carlhagelin,LW,2750000
2021,carterhutton,G,2750000
2021,markusnutivaara,RD,2700000
2021,seanwalker,RD,2650000
2021,ondrejkase,RW,2600000
2021,andersnilsson,G,2600000
2021,joelarmia,"RW, LW",2600000
2021,linusullmark,G,2600000
2021,sambennett,"C, LW, RW",2550000
2021,denisgurianov,"RW, LW",2550000
2021,philippemyers,RD,2550000
2021,jakevirtanen,"RW, LW",2550000
2021,frankvatrano,"RW, LW",2533333
2021,valerinichushkin,"LW, RW",2500000
2021,oliverbjorkstrand,"RW, LW",2500000
2021,radkogudas,RD,2500000
2021,thomashickey,LD,2500000
2021,nickjensen,RD,2500000
2021,braydenmcnabb,LD,2500000
2021,michalkempný,LD,2500000
2021,alexiafallo,"LW, C",2425000
2021,alexandargeorgiev,G,2425000
2021,andrewmangiapane,"LW, RW",2425000
2021,blakecomeau,"LW, RW",2400000
2021,artturilehkonen,"LW, RW",2400000
2021,stephenjohns,RD,2350000
2021,scottlaughton,"C, LW",2300000
2021,lukekunin,"RW, C",2300000
2021,andrewcopp,"LW, C",2280000
2021,gregpateryn,RD,2250000
2021,pavelzacha,"LW, C",2250000
2021,jaroslavhalak,G,2250000
2021,alexanderwennberg,C,2250000
2021,codyeakin,C,2250000
2021,mattiasjanmark,"LW, C",2250000
2021,radimsimek,LD,2250000
2021,zachhyman,"LW, RW",2250000
2021,zemgusgirgensons,"C, LW",2200000
2021,warrenfoegele,"LW, RW",2150000
2021,alexchiasson,RW,2150000
2021,jamieoleksiak,LD/RD,2137500
2021,anthonybeauvillier,LW,2100000
2021,jordangreenway,"LW, RW",2100000
2021,brockmcginn,"LW, RW",2100000
2021,jackroslovic,"C, RW",2030952
2021,markborowiecki,LD,2000000
2021,callejarnkrok,"LW, C, RW",2000000
2021,justinholl,RD,2000000
2021,pavelfrancouz,G,2000000
2021,adriankempe,"LW, RW",2000000
2021,jordiebenn,LD/RD,2000000
2021,jordanmartinook,"C, LW, RW",2000000
2021,vladislavnamestnikov,"RW, LW, C",2000000
2021,roccogrimaldi,"LW, RW",2000000
2021,ethanbear,RD,2000000
2021,samivatanen,LD/RD,2000000
2021,jesperfast,RW,2000000
2021,ilyasorokin,G,2000000
2021,ryanhartman,"C, RW",1900000
2021,ryandonato,"LW, C",1900000
2021,vincedunn,LD/RD,1875000
2021,brettkulak,LD/RD,1850000
2021,blakecoleman,"LW, RW",1800000
2021,lukeglendening,"C, RW, LW",1800000
2021,pierreedouardbellemare,"C, LW",1800000
2021,justinbraun,RD,1800000
2021,carlgunnarsson,LD,1750000
2021,erikhaula,"C, LW",1750000
2021,ryanreaves,RW,1750000
2021,tylerpitlick,RW,1750000
2021,braydoncoburn,LD,1700000
2021,troystecher,RD,1700000
2021,nickholden,LD,1700000
2021,sonnymilano,LW,1700000
2021,anthonyduclair,"LW, RW",1700000
2021,noelacciari,"C, RW",1666667
2021,kyleturris,C,1650000
2021,deankukan,RD,1650000
2021,cedricpaquette,"C, LW",1650000
2021,jackcampbell,G,1650000
