team,year,R1,R2,R3,R4,WC,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,salary cap,Q1,Q2,Q3,Q4
ARI,2012,1,1,1,0,0,0.08164852255054432,0.07776049766718507,0.07076205287713841,0.0583203732503888,0.04665629860031104,0.04665629860031104,0.046267496111975115,0.042768273716951785,0.03110419906687403,0.028771384136858476,0.027993779160186624,0.027993779160186624,0.027216174183514776,0.02177293934681182,0.020606531881804044,0.019440124416796267,0.017107309486780714,0.016329704510108865,0.013996889580093312,0.013996889580093312,64300000,0.33514774494556765,0.19556765163297044,0.12558320373250387,0.08087091757387246
ARI,2013,0,0,0,0,0,0.08242612752721618,0.08164852255054432,0.06220839813374806,0.0583203732503888,0.05443234836702955,0.04821150855365474,0.04665629860031104,0.046267496111975115,0.042768273716951785,0.03110419906687403,0.028771384136858476,0.027993779160186624,0.027216174183514776,0.020606531881804044,0.019440124416796267,0.017107309486780714,0.013996889580093312,0.013996889580093312,0.013271119751166408,0.013227060653188181,64300000,0.3390357698289269,0.2150077760497667,0.1240279937791602,0.07159926905132193
ARI,2014,0,0,0,0,0,0.08812856920684292,0.08553654743390357,0.08553654743390357,0.08242612752721618,0.08164852255054432,0.06998444790046657,0.06220839813374806,0.0583203732503888,0.04821150855365474,0.04665629860031104,0.046267496111975115,0.042768273716951785,0.03965785381026438,0.038880248833592534,0.018468118195956455,0.017884914463452566,0.013608087091757388,0.013530326594090203,0.013426640746500778,0.013271119751166408,64300000,0.42327631415241057,0.2853810264385692,0.18604199066874028,0.07172108864696734
ARI,2015,0,0,0,0,0,0.08212560869565218,0.07971014492753623,0.07681159420289856,0.07608695652173914,0.06956521739130435,0.06521739130434782,0.057971014492753624,0.05434782608695652,0.04492753623188406,0.03695652173913044,0.036231884057971016,0.017210144927536232,0.016666666666666666,0.016666666666666666,0.01618357971014493,0.013405797101449275,0.012958942028985508,0.012681159420289856,0.012512072463768117,0.012367144927536232,69000000,0.38429952173913046,0.25942028985507243,0.1029589420289855,0.06392511594202899
ARI,2016,0,0,0,0,0,0.07936508403361345,0.07703081232492998,0.0742296918767507,0.052521008403361345,0.052521008403361345,0.049019607843137254,0.049019607843137254,0.04481792717086835,0.04341736694677871,0.04201680672268908,0.029178333333333334,0.024509803921568627,0.01610644257703081,0.015639593837535014,0.014565826330532213,0.012955182072829132,0.012955182072829132,0.012955182072829132,0.012254901960784314,0.012254901960784314,71400000,0.33566760504201676,0.22829131652661067,0.1,0.06337535014005602
ARI,2017,0,0,0,0,0,0.07762557534246575,0.07534246575342465,0.075,0.0547945205479452,0.05309772602739726,0.05273972602739726,0.04566209589041096,0.043835616438356165,0.04246575342465753,0.03047945205479452,0.02853880821917808,0.021232876712328767,0.01780821917808219,0.017123287671232876,0.014383561643835616,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.012671232876712329,0.012557082191780821,73000000,0.3358602876712329,0.21518264383561642,0.09908675342465753,0.06632420547945206
ARI,2018,0,0,0,0,0,0.08666666666666667,0.07333333333333333,0.073,0.06,0.05466666666666667,0.037333333333333336,0.029666666666666668,0.027777773333333332,0.024,0.016666666666666666,0.016,0.014,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.012333333333333333,0.011922226666666667,0.011811106666666666,0.011511106666666666,0.011511106666666666,75000000,0.3476666666666667,0.13544444,0.07,0.05908888
ARI,2019,0,0,0,0,0,0.08176100628930817,0.06918238993710692,0.06886792452830189,0.061635220125786164,0.05660377358490566,0.05345911949685535,0.05157232704402516,0.04213836477987421,0.03522012578616352,0.023270440251572325,0.0220125786163522,0.018867924528301886,0.01729559748427673,0.015723270440251572,0.012578616352201259,0.011635220125786163,0.011635220125786163,0.011635220125786163,0.011635220125786163,0.011247383647798741,79500000,0.3380503144654088,0.20566037735849055,0.08647798742138364,0.05778826415094339
ARI,2020,1,1,0,0,0,0.10122699386503067,0.09815950920245399,0.07975460122699386,0.0736196319018405,0.07177914110429448,0.06717791411042945,0.06134969325153374,0.05828220858895705,0.05644171779141104,0.05521472392638037,0.05460122699386503,0.05214723926380368,0.041104294478527606,0.022699386503067485,0.018813901840490796,0.018404907975460124,0.01717791411042945,0.015337423312883436,0.011349693251533743,0.010971374233128835,81500000,0.4245398773006135,0.29846625766871165,0.18936604907975457,0.07324131288343558
ARI,2021,0,0,0,0,0,0.10122699386503067,0.09815950920245399,0.08773006134969324,0.07177914110429448,0.06717791411042945,0.06134969325153374,0.05644171779141104,0.05521472392638037,0.05521472392638037,0.05460122699386503,0.05214723926380368,0.02147239263803681,0.018813901840490796,0.01717791411042945,0.01717791411042945,0.012269938650306749,0.012269938650306749,0.012269938650306749,0.010971374233128835,0.010971374233128835,81500000,0.4260736196319019,0.2828220858895706,0.12678936196319018,0.05875256441717792
BOS,2012,1,0,0,0,0,0.10756869362363919,0.07873250388802489,0.07776049766718507,0.07776049766718507,0.06350440124416797,0.06220839813374806,0.0583203732503888,0.05054432348367029,0.038880248833592534,0.034992223950233284,0.034992223950233284,0.03304821150855365,0.030067387247278383,0.0291601866251944,0.020606531881804044,0.019440124416796267,0.017107309486780714,0.017107309486780714,0.01671850699844479,0.014256096423017107,64300000,0.40532659409020216,0.244945567651633,0.14787454121306376,0.08462934681181959
